,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value,dim_shown,expected_dim
133,404,wc294ae3,Blue,1.0,3483.0,0,1,9,choice,After,Blue,2,-1,1.0,3,3,1,1,2.0,None,False
134,405,wc294ae3,Yellow,0.0,3512.0,0,2,9,choice,After,Blue,3,3,-2.0,3,3,1,1,-2.0,None,False
135,407,wc294ae3,Scene,0.0,1886.0,1,4,9,choice,After,Blue,2,-3,3.0,3,3,1,1,2.0,None,False
136,408,wc294ae3,Red,1.0,2372.0,0,5,9,choice,After,Blue,1,-2,-2.0,3,3,1,2,-2.0,None,False
137,409,wc294ae3,Animal,0.0,2909.0,0,6,9,choice,After,Blue,3,1,-5.0,3,3,2,2,-4.0,None,False
138,418,w0d62ec5,Blue,0.0,4856.0,0,1,9,choice,Before,Blue,1,1,-2.0,3,3,1,1,-2.0,Blue,True
139,420,w0d62ec5,Scene,1.0,3808.0,1,3,9,choice,Before,Blue,3,1,-2.0,3,3,3,3,-2.0,Blue,False
140,421,w0d62ec5,Yellow,0.0,3280.0,0,4,9,choice,Before,Blue,2,4,1.0,3,3,1,2,2.0,Blue,False
141,422,w0d62ec5,Red,0.0,2409.0,1,5,9,choice,Before,Blue,3,-5,-5.0,3,3,1,1,-2.0,Blue,False
142,432,wb0b75c3,Food,1.0,2445.0,1,1,9,choice,Before,Food,3,3,5.0,4,4,2,2,4.0,Food,True
143,433,wb0b75c3,Red,0.0,1965.0,1,2,9,choice,Before,Food,3,-1,-2.0,4,4,1,1,-2.0,Food,False
144,434,wb0b75c3,Animal,1.0,2494.0,0,3,9,choice,Before,Food,1,-2,-2.0,4,4,1,1,-2.0,Food,False
145,435,wb0b75c3,Object,0.0,1866.0,0,4,9,choice,Before,Food,2,1,-2.0,4,4,1,1,-1.0,Food,False
146,436,wb0b75c3,Yellow,0.0,3899.0,0,5,9,choice,Before,Food,2,1,1.0,4,4,2,2,1.0,Food,False
