model,feature,choice,rt,true_value,recalled_value,game_number
feature,Scene,0,2,-2,-0.39652312202553464,7
feature,Object,1,2,1,0.0,7
feature,Animal,0,2,-4,0.0,5
feature,Scene,1,2,1,1.2219411406606817,5
feature,Object,1,2,2,1.995765760570753,5
feature,Yellow,0,2,-2,-2.6951764662985775,7
feature,Blue,1,2,5,0.8684937778281794,7
feature,Green,0,2,-2,0.0,7
feature,Red,0,2,-2,0.0,1
feature,Blue,0,2,-2,-1.71089709188398,1
feature,Yellow,1,2,2,1.097593255230141,1
feature,Blue,0,2,-2,0.0,3
feature,Yellow,1,2,2,0.7223604633311196,3
feature,Red,0,2,-3,0.0,3
feature,Scene,0,2,-1,-1.3689541968520573,7
feature,Object,0,2,-1,-2.317533861717127,7
feature,Animal,1,2,2,0.0,7
feature,Red,1,2,3,1.6427182160242686,5
feature,Green,0,2,-3,0.0,5
feature,Blue,0,2,-1,-0.805669029863652,5
feature,Red,0,2,-2,-2.0359417788918046,7
feature,Green,1,2,2,-1.2280462869091946,7
feature,Blue,0,2,-1,-1.963077325094611,7
feature,Object,0,2,-5,0.0,1
feature,Animal,1,2,3,2.9249824615760702,1
feature,Food,1,2,2,2.02361751203762,1
feature,Scene,0,2,-1,-0.9936217269211426,3
feature,Food,0,2,-2,-2.653231656424818,3
feature,Animal,1,2,3,1.0644729452565964,3
feature,Scene,0,2,-3,0.0,2
feature,Food,1,2,5,0.0,2
feature,Object,0,2,-2,0.0,2
feature,Object,0,2,-1,-0.36939996876918846,3
feature,Animal,0,2,-1,-2.665180180499216,3
feature,Scene,1,2,2,-1.692703104169869,3
feature,Food,0,2,-1,-1.2922902211738547,2
feature,Object,1,2,3,0.0,2
feature,Scene,0,2,-3,-0.9479535172285454,2
feature,Object,0,2,-3,0.0,3
feature,Animal,1,2,4,0.0,3
feature,Scene,1,2,2,2.030044900210735,3
feature,Food,1,2,1,1.0200928075691362,2
feature,Object,0,2,-2,0.0,2
feature,Scene,1,2,3,2.171871539029535,2
feature,Scene,0,2,-3,-2.2754709071826937,7
feature,Object,0,2,-1,-2.4634740793490435,7
feature,Animal,1,2,2,0.0,7
feature,Scene,0,2,-2,0.0,7
feature,Object,0,2,-1,0.0,7
feature,Animal,1,2,1,1.0727875482696576,7
feature,Red,1,2,1,0.0,7
feature,Green,1,2,1,1.0076133843923192,7
feature,Blue,0,2,-2,0.0,7
feature,Animal,0,2,-3,-4.334832883406875,6
feature,Food,1,2,2,1.6685384328522033,6
feature,Scene,1,2,2,0.0,6
feature,Food,0,2,-2,-1.2382997980960806,4
feature,Animal,1,2,1,-1.3080380017088284,4
feature,Object,1,2,1,1.6063523322892137,4
feature,Blue,0,2,-6,-2.1417504718387725,8
feature,Green,1,2,2,2.4502808487029455,8
feature,Red,1,2,2,0.0,8
feature,Blue,0,2,-1,-2.2863654855479827,3
feature,Green,1,2,2,0.0,3
feature,Yellow,0,2,-2,1.5217295996212838,3
feature,Red,0,2,-1,0.0,5
feature,Green,1,2,2,0.0,5
feature,Blue,0,2,-2,-1.5362306600421103,5
feature,Animal,1,2,1,-0.25550279321502234,8
feature,Scene,1,2,2,1.7862773537367753,8
feature,Food,0,2,-3,0.0,8
feature,Red,1,2,2,1.0690088660564832,2
feature,Yellow,0,2,-2,-1.2658433219492218,2
feature,Green,1,2,1,0.0,2
feature,Blue,1,2,1,0.0,1
feature,Yellow,1,2,1,1.3344823657901257,1
feature,Green,0,2,-3,0.0,1
feature,Red,1,2,1,-1.5734502463969022,8
feature,Green,0,2,-1,-0.38877538178260296,8
feature,Blue,0,2,-1,0.0,8
feature,Yellow,1,2,3,0.0,7
feature,Blue,0,2,-1,-2.117028660104171,7
feature,Green,0,2,-2,0.0,7
feature,Green,1,2,3,0.6067958351776951,1
feature,Red,1,2,1,0.0,1
feature,Blue,0,2,-3,-1.9989977348617005,1
feature,Object,1,2,2,3.7953205873315783,5
feature,Food,1,2,1,0.0,5
feature,Animal,0,2,-3,0.0,5
feature,Object,0,2,-2,0.0,2
feature,Food,1,2,4,0.0,2
feature,Scene,0,2,-1,-2.0742642531239506,2
