,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,dim_shown,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value
209,324,we39fc55,Object,0.0,1192.0,0,2,5,choice,After,Category,Category,1,2,-1.0,3,3,1,3,-1.0
210,325,we39fc55,Scene,1.0,908.0,0,3,5,choice,After,Category,Category,2,-1,1.0,3,3,1,1,-1.0
211,326,we39fc55,Green,1.0,1838.0,0,1,6,choice,Before,Color,Color,3,-1,2.0,4,4,1,1,2.0
212,327,we39fc55,Red,0.0,2036.0,0,2,6,choice,Before,Color,Color,2,1,0.0,4,4,2,4,0.0
213,328,we39fc55,Yellow,1.0,993.0,1,3,6,choice,Before,Color,Color,1,1,-1.0,4,4,1,1,-1.0
214,329,we39fc55,Yellow,1.0,795.0,0,1,7,choice,After,Color,Color,2,-1,2.0,3,3,2,3,2.0
215,330,we39fc55,Blue,1.0,585.0,0,2,7,choice,After,Color,Color,3,-1,-5.0,3,3,1,1,-2.0
216,339,we40084a,Animal,1.0,2207.0,0,2,1,choice,After,Category,Category,3,-3,2.0,3,3,2,2,3.0
217,340,we40084a,Scene,1.0,5981.0,1,3,1,choice,After,Category,Category,2,1,-3.0,3,3,1,1,-2.0
218,341,we40084a,Food,,,0,1,2,choice,Before,Category,Category,3,2,-1.0,6,6,3,3,-1.0
